date,revenue
2023-09-15,157949
2023-09-16,152890
2023-09-17,143496
2023-09-18,153120
2023-09-19,163430
2023-09-20,164594
2023-09-21,159708
2023-09-22,153960
2023-09-23,143844
2023-09-24,146224
2023-09-25,140509
2023-09-26,162551
2023-09-27,158794
2023-09-28,154001
2023-09-29,157538
2023-09-30,158478
2023-10-01,153161
2023-10-02,171873
2023-10-03,176997
2023-10-04,163129
2023-10-05,151572
2023-10-06,146674
2023-10-07,146229
2023-10-08,143743
2023-10-09,137329
2023-10-10,140394
2023-10-11,140039
2023-10-12,140507
2023-10-13,143743
2023-10-14,141944
2023-10-15,132173
2023-10-16,143636
2023-10-17,167856
2023-10-18,188908
2023-10-19,143913
2023-10-20,162950
2023-10-21,160154
2023-10-22,147796
2023-10-23,156569
2023-10-24,205090
2023-10-25,172872
2023-10-26,192983
2023-10-27,183118
2023-10-28,209466
2023-10-29,163133
2023-10-30,168958
2023-10-31,190600
2023-11-01,185842
2023-11-02,193226
2023-11-03,172211
2023-11-04,180140
2023-11-05,176179
2023-11-06,191226
2023-11-07,188244
2023-11-08,197462
2023-11-09,202382
2023-11-10,261705
2023-11-11,217070
2023-11-12,206580
2023-11-13,213280
2023-11-14,240585
2023-11-15,221907
2023-11-16,213939
2023-11-17,192334
2023-11-18,195205
2023-11-19,181095
2023-11-20,195548
2023-11-21,196257
2023-11-22,226624
2023-11-23,226299
2023-11-24,208011
2023-11-25,204775
2023-11-26,194385
2023-11-27,199743
2023-11-28,208763
2023-11-29,231205
2023-11-30,222619
2023-12-01,229625
2023-12-02,221879
2023-12-03,211974
2023-12-04,236444
2023-12-05,249337
2023-12-06,260383
2023-12-07,253112
2023-12-08,269449
2023-12-09,257612
2023-12-10,222406
2023-12-11,237616
2023-12-12,249187
2023-12-13,225076
2023-12-14,233203
2023-12-15,259798
2023-12-16,237870
2023-12-17,243111
2023-12-18,213687
2023-12-19,231448
2023-12-20,230520
2023-12-21,266575
2023-12-22,232319
2023-12-23,227549
2023-12-24,216335
2023-12-25,228754
2023-12-26,204950
2023-12-27,221263
2023-12-28,260318
2023-12-29,243772
2023-12-30,210304
2023-12-31,208915
2024-01-01,203787
2024-01-02,220268
2024-01-03,208319
2024-01-04,330904
2024-01-05,220152
2024-01-06,205740
2024-01-07,197482
2024-01-08,214535
2024-01-09,227437
2024-01-10,272370
2024-01-11,296780
2024-01-12,253926
2024-01-13,252283
2024-01-14,243440
2024-01-15,243448
2024-01-16,261689
2024-01-17,257973
2024-01-18,248030
2024-01-19,321922
2024-01-20,236960
2024-01-21,223409
2024-01-22,215200
2024-01-23,239441
2024-01-24,208268
2024-01-25,214329
2024-01-26,232023
2024-01-27,230456
2024-01-28,214566
2024-01-29,206553
2024-01-30,224587
2024-01-31,230396
2024-02-01,227176
2024-02-02,223318
2024-02-03,232927
2024-02-04,205338
2024-02-05,204759
2024-02-06,222314
2024-02-07,234794
2024-02-08,266302
2024-02-09,284865
2024-02-10,264248
2024-02-11,246873
2024-02-12,244053
2024-02-13,337079
2024-02-14,288879
2024-02-15,271062
2024-02-16,316990
2024-02-17,258735
2024-02-18,260494
2024-02-19,283118
2024-02-20,295035
2024-02-21,300417
2024-02-22,309161
2024-02-23,299159
2024-02-24,306010
2024-02-25,284873
2024-02-26,295227
2024-02-27,337134
2024-02-28,337428
2024-02-29,383738
2024-03-01,340981
2024-03-02,356476
2024-03-03,337797
2024-03-04,362098
2024-03-05,432130
2024-03-06,478732
2024-03-07,439165
2024-03-08,416674
2024-03-09,412922
2024-03-10,401585
2024-03-11,433490
2024-03-12,439026
2024-03-13,441017
2024-03-14,403549
2024-03-15,406285
2024-03-16,349918
2024-03-17,352238
2024-03-18,331534
2024-03-19,381779
2024-03-20,337749
2024-03-21,356818
2024-03-22,324724
2024-03-23,330167
2024-03-24,299197
2024-03-25,312263
2024-03-26,371060
2024-03-27,343329
2024-03-28,335539
2024-03-29,344424
2024-03-30,326649
2024-03-31,326323
2024-04-01,317853
2024-04-02,325369
2024-04-03,325780
2024-04-04,327392
2024-04-05,328131
2024-04-06,319226
2024-04-07,298346
2024-04-08,331560
2024-04-09,333606
2024-04-10,329988
2024-04-11,343551
2024-04-12,317624
2024-04-13,402909
2024-04-14,383281
2024-04-15,282241
2024-04-16,309184
2024-04-17,275020
2024-04-18,271752
2024-04-19,287056
2024-04-20,274711
2024-04-21,264442
2024-04-22,277163
2024-04-23,279210
2024-04-24,347753
2024-04-25,293132
2024-04-26,272028
2024-04-27,267611
2024-04-28,274018
2024-04-29,271739
2024-04-30,259929
2024-05-01,275069
2024-05-02,263687
2024-05-03,248567
2024-05-04,268121
2024-05-05,252460
2024-05-06,258661
2024-05-07,254438
2024-05-08,251497
2024-05-09,246676
2024-05-10,253507
2024-05-11,239266
2024-05-12,234378
2024-05-13,243919
2024-05-14,255321
2024-05-15,247115
2024-05-16,257943
2024-05-17,250787
2024-05-18,247769
2024-05-19,247142
2024-05-20,252450
2024-05-21,419518
2024-05-22,334194
2024-05-23,355056
2024-05-24,444349
2024-05-25,318049
2024-05-26,317982
2024-05-27,341497
2024-05-28,354620
2024-05-29,346604
2024-05-30,349066
2024-05-31,360127
2024-06-01,342296
2024-06-02,345946
2024-06-03,359116
2024-06-04,345701
2024-06-05,358452
2024-06-06,389437
2024-06-07,374378
2024-06-08,353561
2024-06-09,325051
2024-06-10,342522
2024-06-11,363295
2024-06-12,333683
2024-06-13,371669
2024-06-14,313410
2024-06-15,320810
2024-06-16,304595
2024-06-17,300348
2024-06-18,313463
2024-06-19,307121
2024-06-20,324163
2024-06-21,303153
2024-06-22,293753
2024-06-23,301208
2024-06-24,292305
2024-06-25,301458
2024-06-26,294313
2024-06-27,299690
2024-06-28,319225
2024-06-29,282984
2024-06-30,278006
2024-07-01,304432
2024-07-02,300206
2024-07-03,294883
2024-07-04,315489
2024-07-05,355978
2024-07-06,269450
2024-07-07,250058
2024-07-08,261321
2024-07-09,270512
2024-07-10,279309
2024-07-11,278985
2024-07-12,276370
2024-07-13,269843
2024-07-14,274781
2024-07-15,287490
2024-07-16,309988
2024-07-17,321146
2024-07-18,341724
2024-07-19,316911
2024-07-20,298681
2024-07-21,294634
2024-07-22,324860
2024-07-23,313966
2024-07-24,305486
2024-07-25,284150
2024-07-26,284164
2024-07-27,276509
2024-07-28,293724
2024-07-29,282570
2024-07-30,289746
2024-07-31,297290
2024-08-01,289203
2024-08-02,283217
2024-08-03,271748
2024-08-04,254318
2024-08-05,664128
2024-08-06,260823
2024-08-07,221442
2024-08-08,222856
2024-08-09,240037
2024-08-10,228559
2024-08-11,215855
2024-08-12,235893
2024-08-13,237067
2024-08-14,242096
2024-08-15,235285
2024-08-16,226799
2024-08-17,212726
2024-08-18,218121
2024-08-19,214097
2024-08-20,226433
2024-08-21,213962
2024-08-22,231796
2024-08-23,216795
2024-08-24,232211
2024-08-25,222645
2024-08-26,221512
2024-08-27,216942
2024-08-28,234183
2024-08-29,210286
2024-08-30,215437
2024-08-31,201971
2024-09-01,197298
2024-09-02,206494
2024-09-03,222400
2024-09-04,208009
2024-09-05,214153
2024-09-06,208788
2024-09-07,268392
2024-09-08,188342
2024-09-09,198992
2024-09-10,210781
2024-09-11,208326
2024-09-12,202219
2024-09-13,201018
2024-09-14,205064
2024-09-15,200787
2024-09-16,216209
2024-09-17,201410
2024-09-18,211808
2024-09-19,235185
2024-09-20,247288
2024-09-21,250189
2024-09-22,242853
2024-09-23,249882
2024-09-24,251603
2024-09-25,246810
2024-09-26,244573
2024-09-27,254736
2024-09-28,234900
2024-09-29,226746
2024-09-30,231904
2024-10-01,237307
2024-10-02,224372
2024-10-03,211668
2024-10-04,209206
2024-10-05,207704
2024-10-06,215636
2024-10-07,220286
2024-10-08,239634
2024-10-09,246713
2024-10-10,223258
2024-10-11,226052
2024-10-12,222024
2024-10-13,225153
2024-10-14,240477
2024-10-15,236529
2024-10-16,236090
2024-10-17,229292
2024-10-18,231440
2024-10-19,225176
2024-10-20,222218
2024-10-21,225509
2024-10-22,229121
2024-10-23,223757
2024-10-24,220828
2024-10-25,223373
2024-10-26,213296
2024-10-27,206061
2024-10-28,207254
2024-10-29,229536
2024-10-30,235724
2024-10-31,227341
2024-11-01,237377
2024-11-02,210367
2024-11-03,208733
2024-11-04,209754
2024-11-05,211912
2024-11-06,252417
2024-11-07,249918
2024-11-08,263497
2024-11-09,280592
2024-11-10,278034
2024-11-11,289258
2024-11-12,337898
2024-11-13,296970
2024-11-14,333224
2024-11-15,297884
2024-11-16,288333
2024-11-17,270058
2024-11-18,264823
2024-11-19,282511
2024-11-20,278444
2024-11-21,287304
2024-11-22,302553
2024-11-23,297946
2024-11-24,299985
2024-11-25,301742
2024-11-26,296793
2024-11-27,303875
2024-11-28,315116
2024-11-29,300827
2024-11-30,306163
2024-12-01,308131
2024-12-02,316405
2024-12-03,336268
2024-12-04,349816
2024-12-05,352260
2024-12-06,387174
2024-12-07,346545
2024-12-08,330175
2024-12-09,329344
2024-12-10,381104
2024-12-11,337749
2024-12-12,340365
2024-12-13,336248
2024-12-14,324214
2024-12-15,318471
2024-12-16,329042
2024-12-17,339532
2024-12-18,329692
2024-12-19,326201
2024-12-20,312552
2024-12-21,291470
2024-12-22,278951
2024-12-23,277182
2024-12-24,282323
2024-12-25,278366
2024-12-26,272116
2024-12-27,282819
2024-12-28,271991
2024-12-29,273070
2024-12-30,276336
2024-12-31,294320
2025-01-01,278245
2025-01-02,303939
2025-01-03,293675
2025-01-04,303279
2025-01-05,297277
2025-01-06,304453
2025-01-07,311884
2025-01-08,295185
2025-01-09,282918
2025-01-10,282601
2025-01-11,263921
2025-01-12,256211
2025-01-13,277869
2025-01-14,278137
2025-01-15,266481
2025-01-16,283995
2025-01-17,288873
2025-01-18,285233
2025-01-19,290105
2025-01-20,331612
2025-01-21,330523
2025-01-22,279843
2025-01-23,263121
2025-01-24,413420
2025-01-25,268350
2025-01-26,262018
2025-01-27,271942
2025-01-28,261840
2025-01-29,251053
2025-01-30,266427
2025-01-31,268922
2025-02-01,263225
2025-02-02,243637
2025-02-03,887245
2025-02-04,263436
2025-02-05,243238
2025-02-06,225118
2025-02-07,229229
2025-02-08,212173
2025-02-09,205010
2025-02-10,214171
2025-02-11,215024
2025-02-12,207519
2025-02-13,224548
2025-02-14,218747
2025-02-15,207815
2025-02-16,205236
2025-02-17,217965
2025-02-18,226561
2025-02-19,216903
2025-02-20,213592
2025-02-21,218766
2025-02-22,236017
