account,activer_users,dt
Flashloan,42,2025-04-17 00:00:00+00:00
Flashloan,82,2025-11-10 00:00:00+00:00
Flashloan,12,2026-01-24 00:00:00+00:00
Flashloan,48,2025-03-15 00:00:00+00:00
Flashloan,93,2025-03-02 00:00:00+00:00
Flashloan,70,2025-07-23 00:00:00+00:00
Flashloan,84,2025-08-17 00:00:00+00:00
Flashloan,11,2026-02-13 00:00:00+00:00
Flashloan,78,2025-09-17 00:00:00+00:00
Flashloan,36,2025-11-27 00:00:00+00:00
Flashloan,20,2025-11-28 00:00:00+00:00
Flashloan,56,2025-09-13 00:00:00+00:00
Flashloan,81,2025-03-28 00:00:00+00:00
Flashloan,42,2025-05-25 00:00:00+00:00
Flashloan,10,2026-02-14 00:00:00+00:00
Deposit,733,2025-03-19 00:00:00+00:00
Deposit,1076,2025-11-12 00:00:00+00:00
Borrow,570,2025-03-09 00:00:00+00:00
Borrow,633,2025-04-10 00:00:00+00:00
Borrow,550,2026-02-20 00:00:00+00:00
Borrow,387,2025-06-14 00:00:00+00:00
Borrow,611,2025-08-31 00:00:00+00:00
Borrow,405,2026-01-17 00:00:00+00:00
Borrow,995,2025-10-13 00:00:00+00:00
Borrow,1112,2025-07-30 00:00:00+00:00
Borrow,604,2026-01-27 00:00:00+00:00
Borrow,652,2025-12-04 00:00:00+00:00
Borrow,674,2025-07-03 00:00:00+00:00
Borrow,520,2025-03-14 00:00:00+00:00
Flashloan,26,2025-04-19 00:00:00+00:00
Flashloan,13,2025-12-21 00:00:00+00:00
Flashloan,38,2025-06-03 00:00:00+00:00
