Date,Compound - Active loans ($)
2024-05-04,863538680.898336
2024-05-05,875742413.228265
2024-05-06,879394687.444854
2024-05-07,856440198.208711
2024-05-08,866721616.40166
2024-05-09,870040426.806136
2024-05-10,872209596.856142
2024-05-11,871548829.215911
2024-05-12,874454231.321494
2024-05-13,873967566.209684
2024-05-14,869133381.666845
2024-05-15,870317861.965034
2024-05-16,868296721.315119
2024-05-17,879627799.087701
2024-05-18,882498927.56855
2024-05-19,891497416.557333
2024-05-20,902474273.075339
2024-05-21,908505677.495803
2024-05-22,913990192.368982
2024-05-23,925368618.576098
2024-05-24,945152442.601467
2024-05-25,947418709.985907
2024-05-26,952135317.83472
2024-05-27,958922495.400167
2024-05-28,960061574.497338
2024-05-29,960416615.968103
2024-05-30,950566789.910969
2024-05-31,946852366.905856
2024-06-01,952670991.067572
2024-06-02,952087331.426113
2024-06-03,953136437.612701
2024-06-04,963783022.810036
2024-06-05,967493911.562811
2024-06-06,958291287.237568
2024-06-07,955169001.703549
2024-06-08,954161594.931757
2024-06-09,953791782.017199
2024-06-10,965287606.536675
2024-06-11,960662850.370205
2024-06-12,964337473.957665
2024-06-13,957890134.635449
2024-06-14,959634703.774714
2024-06-15,961829437.988758
2024-06-16,960917330.544017
2024-06-17,962770017.429495
2024-06-18,956442076.486955
2024-06-19,961533319.948065
2024-06-20,961954162.074534
2024-06-21,952845927.833623
2024-06-22,952100339.533252
2024-06-23,950303321.528414
2024-06-24,929659847.453971
2024-06-25,936075782.474359
2024-06-26,939216617.577058
2024-06-27,943125144.730808
2024-06-28,940272051.846904
2024-06-29,941970589.359092
2024-06-30,947877839.60437
2024-07-01,949120774.613268
2024-07-02,946888757.332332
2024-07-03,940443651.909813
2024-07-04,912672085.722717
2024-07-05,826551442.274373
2024-07-06,822163502.142611
2024-07-07,816852461.352396
2024-07-08,821843046.631317
2024-07-09,840890341.517693
2024-07-10,846274652.216013
2024-07-11,844314056.421206
2024-07-12,848297648.717518
2024-07-13,853677566.676583
2024-07-14,862653342.27683
2024-07-15,868966638.252779
2024-07-16,879274724.856247
2024-07-17,888232000.387394
2024-07-18,900983691.37368
2024-07-19,936616334.988435
2024-07-20,887376801.115093
2024-07-21,895608612.429062
2024-07-22,883000269.749765
2024-07-23,908760983.49084
2024-07-24,905141356.957672
2024-07-25,902038488.776067
2024-07-26,895249801.945552
2024-07-27,895574844.637023
2024-07-28,852175588.581902
2024-07-29,843699463.735568
2024-07-30,846110717.525533
2024-07-31,854348695.416116
2024-08-01,855930386.424972
2024-08-02,846710956.314143
2024-08-03,832001551.813254
2024-08-04,816675046.184514
2024-08-05,708426499.48349
2024-08-06,699532913.57519
2024-08-07,688589987.868436
2024-08-08,707053013.574186
2024-08-09,700147507.253438
2024-08-10,702351825.366804
2024-08-11,699061454.301428
2024-08-12,709323398.944873
2024-08-13,712648249.276412
2024-08-14,716090731.381854
2024-08-15,718219414.454457
2024-08-16,725602649.162553
2024-08-17,724844454.344738
2024-08-18,730845620.894151
2024-08-19,734421233.949748
2024-08-20,743403804.165539
2024-08-21,758008346.637403
2024-08-22,761265609.601022
2024-08-23,782736257.100062
2024-08-24,783171325.815989
2024-08-25,785351783.329599
2024-08-26,778764777.648401
2024-08-27,767865280.981259
2024-08-28,773352811.040674
2024-08-29,774746490.208183
2024-08-30,777460214.60706
2024-08-31,777064543.905123
2024-09-01,769557300.045087
2024-09-02,781504209.740286
2024-09-03,779257596.808237
2024-09-04,778710210.611622
2024-09-05,773537166.948126
2024-09-06,758781361.111209
2024-09-07,759969725.746439
2024-09-08,762610213.684356
2024-09-09,770935314.053355
2024-09-10,773958989.251324
2024-09-11,779142438.022008
2024-09-12,779726120.150405
2024-09-13,786647041.227572
2024-09-14,783036428.902168
2024-09-15,784227280.252
2024-09-16,783335312.193886
2024-09-17,787711647.982969
2024-09-18,785996933.561388
2024-09-19,790355991.3524
2024-09-20,804088779.488305
2024-09-21,811187275.499729
2024-09-22,818410782.619333
2024-09-23,826282329.462406
2024-09-24,815039530.664278
2024-09-25,800871348.415742
2024-09-26,809189468.515909
2024-09-27,816153738.852079
2024-09-28,813929541.397247
2024-09-29,807370380.600699
2024-09-30,801968092.062432
2024-10-01,793687424.860557
2024-10-02,790689523.665235
2024-10-03,787706191.616004
2024-10-04,793156474.094938
2024-10-05,797477561.872498
2024-10-06,799831807.310339
2024-10-07,807440642.509505
2024-10-08,809641677.142998
2024-10-09,814925950.524734
2024-10-10,817465626.695638
2024-10-11,823475401.2079
2024-10-12,825382172.507847
2024-10-13,817691986.529313
2024-10-14,826990943.945205
2024-10-15,821659615.695988
2024-10-16,828688919.905088
2024-10-17,830731261.936773
2024-10-18,822410640.6929
2024-10-19,824612404.568826
2024-10-20,827101471.997895
2024-10-21,822942620.797355
2024-10-22,822550154.256816
2024-10-23,823704785.421007
2024-10-24,833446985.372286
2024-10-25,772107569.097074
2024-10-26,844382060.138874
2024-10-27,846571369.65106
2024-10-28,859336689.625049
2024-10-29,880340468.217743
2024-10-30,874963661.122919
2024-10-31,850440717.999083
2024-11-01,858192081.41535
2024-11-02,859636502.211648
2024-11-03,863355096.395532
2024-11-04,858777002.141103
2024-11-05,847441797.346652
2024-11-06,895588514.626642
2024-11-07,905427110.851941
2024-11-08,919040782.70648
2024-11-09,900264352.741424
2024-11-10,900381361.403729
2024-11-11,920090004.439954
2024-11-12,908602421.747567
2024-11-13,906339683.514562
2024-11-14,905073416.745886
2024-11-15,899131297.342413
2024-11-16,915185761.720237
2024-11-17,910786932.906108
2024-11-18,909499571.1932
2024-11-19,900279471.168415
2024-11-20,905027803.757656
2024-11-21,921477517.150643
2024-11-22,925102358.214067
2024-11-23,917223487.264484
2024-11-24,926867148.511152
2024-11-25,914885384.574133
2024-11-26,910862784.305759
2024-11-27,937197732.224568
2024-11-28,945905345.861986
2024-11-29,958055875.272423
2024-11-30,967853545.52583
2024-12-01,971990684.75891
2024-12-02,982872071.265358
2024-12-03,975127468.293911
2024-12-04,988674818.452649
2024-12-05,988478837.817707
